X--Trace 1::[interactive: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[PR1: I(V1)]
0,0,,0,0
0.0000010000000000000002,0.0066599062641712085,,0.0000010000000000000002,-0.00001956950988249825
0.00000108416580392161,0.007221671136937511,,0.00000108416580392161,-0.00002121632193348826
0.0000012524974117648296,0.008346080420737773,,0.0000012524974117648296,-0.00002450940320949407
0.0000015891606274512686,0.010579362214126196,,0.0000015891606274512686,-0.00003109231042809778
0.0000022624870588241468,0.015062420777231505,,0.0000022624870588241468,-0.00004424511973989019
0.0000036091399215699034,0.02401594998327547,,0.0000036091399215699034,-0.00007049884723731674
0.000006302445647061417,0.04188475601775585,,0.000006302445647061417,-0.00012279976810743284
0.000011689057098044442,0.07748079180104539,,0.000011689057098044442,-0.00022658364302391147
0.000022462280000010492,0.14813531276708042,,0.000022462280000010492,-0.00043094372871844923
0.0000440087258039426,0.28734189143435945,,0.0000440087258039426,-0.0008273290074320448
0.00008710161741180681,0.5579981954532905,,0.00008710161741180681,-0.0015744585322916493
0.0001732874006275352,1.0726590053888274,,0.0001732874006275352,-0.0029119752888197383
0.0002732874006275352,1.633506055241757,,0.0002732874006275352,-0.0042502829437615405
0.0003732874006275352,2.1647045096281055,,0.0003732874006275352,-0.005414236276063861
0.0004732874006275352,2.6739259893372216,,0.0004732874006275352,-0.006448801131540062
0.0005,2.80687723252961,,0.0005,-0.0067072138771368806
0.00051,2.7242580470191435,,0.00051,-0.00641721401130132
0.0005300000000000001,2.5611794762745372,,0.0005300000000000001,-0.005850084201453657
0.0005700000000000001,2.247415697052728,,0.0005700000000000001,-0.004788727137810294
0.0006500000000000001,1.6629039861185237,,0.0006500000000000001,-0.0029190247565895567
0.0007500000000000001,0.9983431070532758,,0.0007500000000000001,-0.0009706511644270497
0.0008500000000000002,0.3901755196092845,,0.0008500000000000002,0.0006460325687366316
0.0009500000000000002,-0.17614936676624482,,0.0009500000000000002,0.0020165690026259083
0.001,-0.44686604873843927,,0.001,0.002628616543033196
0.00101,-0.3679780314111215,,0.00101,0.002360682607005466
0.00103,-0.21219251181610865,,0.00103,0.0018364155821584491
0.0010700000000000002,0.08822280168051211,,0.0010700000000000002,0.0008535953282018966
0.0011500000000000002,0.6502761240974133,,0.0011500000000000002,-0.0008839823640766959
0.0012500000000000002,1.2932758733151715,,0.0012500000000000002,-0.0027055343077659606
0.0013500000000000003,1.8854426894461391,,0.0013500000000000003,-0.00422810359813226
0.0014500000000000003,2.4398975035163546,,0.0014500000000000003,-0.005528797631692456
0.0015,2.7059027307524097,,0.0015,-0.006113144101409348
0.00151,2.6261702600438412,,0.00151,-0.0058402275599223836
0.0015300000000000001,2.468728395825157,,0.0015300000000000001,-0.005306281888020739
0.0015700000000000002,2.1653066364705307,,0.0015700000000000002,-0.004305727600642332
0.0016500000000000002,1.5981806821986426,,0.0016500000000000002,-0.0025383154440037073
0.0017500000000000003,0.950315961436548,,0.0017500000000000003,-0.0006881264909731192
0.0018500000000000003,0.35453309801592614,,0.0018500000000000003,0.0008556943460335866
0.0019500000000000003,-0.20260162474657195,,0.0019500000000000003,0.0021721591686879355
0.002,-0.4696701539983823,,0.002,0.0027627606889397767
0.00201,-0.3901311943535015,,0.00201,0.002490969246525392
0.00203,-0.23306841167249814,,0.00203,0.0019592090651094117
0.0020700000000000002,0.06968287192478345,,0.0020700000000000002,0.0009626592177211393
0.0021500000000000004,0.6356617860948568,,0.0021500000000000004,-0.0007980161566342045
0.0022500000000000003,1.2824299772914054,,0.0022500000000000003,-0.0026417387191558514
0.00235,1.877400765026011,,0.00235,-0.0041807608427963
0.00245,2.4339237899666055,,0.00245,-0.005493664536573629
0.0025,2.7007519237641273,,0.0025,-0.006082853632820927
0.00251,2.621139801665662,,0.00251,-0.0058108081369934285
0.00253,2.464005746510268,,0.00253,-0.005278554460088257
0.0025700000000000002,2.1611243271909393,,0.0025700000000000002,-0.004281100388643721
0.0026500000000000004,1.5948819675336323,,0.0026500000000000004,-0.002518903812667837
0.0027500000000000003,0.9478669233104429,,0.0027500000000000003,-0.0006737211044404827
0.00285,0.3527135870226565,,0.00285,0.000866384594450327
0.00295,-0.20394834469388978,,0.00295,0.0021800924102537023
0.003,-0.4708315812877374,,0.003,0.0027696004394268774
0.00301,-0.39126171607473426,,0.00301,0.0024976123102244943
0.00303,-0.2341336072893031,,0.00303,0.0019654700672511794
0.0030700000000000002,0.06873647856322201,,0.0030700000000000002,0.0009682201744548313
0.0031500000000000005,0.6349170376607384,,0.0031500000000000005,-0.0007936329060252768
0.0032500000000000003,1.281876640870397,,0.0032500000000000003,-0.002638485905510336
0.00335,1.8769884586670638,,0.00335,-0.0041783469272901
0.00345,2.433620815465363,,0.00345,-0.005491873168021328
0.0035,2.7004916096681213,,0.0035,-0.00608130918042696
0.00351,2.6209298899255153,,0.00351,-0.005809308097532528
0.00353,2.4637658188101,,0.00353,-0.0052771406921789275
0.0035700000000000003,2.160904883416608,,0.0035700000000000003,-0.004279844694747243
0.0036500000000000005,1.594710256881366,,0.0036500000000000005,-0.002517914051139392
0.0037500000000000003,0.9477421273936167,,0.0037500000000000003,-0.0006729866016495688
0.00385,0.35262063614124184,,0.00385,0.0008669296695359473
0.00395,-0.20401817492872742,,0.00395,0.0021804969108936497
0.004,-0.4708914802165244,,0.004,0.0027699491850721666
0.00401,-0.3913141882442438,,0.00401,0.0024979510271909786
0.00403,-0.23417614436317513,,0.00403,0.0019657893036379827
