X--Trace 1::[interactive: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[PR2: I(R2)]
0,0,,0,0
3.125e-7,0.001963494146845236,,3.125e-7,0.00000384763164232214
3.3876625938236824e-7,0.0021285295762499884,,3.3876625938236824e-7,0.000004171015773442801
3.912987781471046e-7,0.0024586002566414087,,3.912987781471046e-7,0.0000048177503895708945
4.963638156765774e-7,0.0031187407778909514,,4.963638156765774e-7,0.000006111018229277876
7.06493890735523e-7,0.00443901745537091,,7.06493890735523e-7,0.00000869674667689441
0.0000011267540408534142,0.007079545295205192,,0.0000011267540408534142,0.000013864961357774823
0.0000019672743410891966,0.012360434474917989,,0.0000019672743410891966,0.000024188315655611756
0.000003648314941560761,0.022921031344378045,,0.000003648314941560761,0.00004478187581277409
0.00000701039614250389,0.044033375944280945,,0.00000701039614250389,0.00008574964095012934
0.000013734558544390148,0.08618970571871915,,0.000013734558544390148,0.00016675406064980307
0.00002718288334816266,0.16996592731343377,,0.00002718288334816266,0.0003246158960871559
0.00005407953295570769,0.3332907344597683,,0.00005407953295570769,0.000620498930080685
0.00008532953295570769,0.5108225040143636,,0.00008532953295570769,0.0009230535338972986
0.00011657953295570769,0.6687236512122475,,0.00011657953295570769,0.0011718850976587313
0.0001478295329557077,0.8009261235185892,,0.0001478295329557077,0.0013590451271204165
0.0001790795329557077,0.902349454062656,,0.0001790795329557077,0.0014788124022902715
0.0002103295329557077,0.9690960011304987,,0.0002103295329557077,0.001527925462644152
0.0002415795329557077,0.9986007323501951,,0.0002415795329557077,0.0015057194489635887
0.0002728295329557077,0.989729797447416,,0.0002728295329557077,0.0014141621417501353
0.00030407953295570774,0.9428241014755977,,0.00030407953295570774,0.001257787901260488
0.00033532953295570777,0.8596862040259196,,0.00033532953295570777,0.0010435321298327212
0.0003665795329557078,0.7435110478731032,,0.0003665795329557078,0.0007804726927930057
0.0003978295329557078,0.5987631791163222,,0.0003978295329557078,0.0004794883031496087
0.00042907953295570785,0.43100517717636094,,0.00042907953295570785,0.00015284706028872625
0.0004603295329557079,0.24668388798799987,,0.0004603295329557079,-0.00018625898846517293
0.0004915795329557079,0.05288267532617808,,0.0004915795329557079,-0.000524215325259177
0.0005228295329557079,-0.1429507888914823,,0.0005228295329557079,-0.0008475031595348219
0.000554079532955708,-0.33329073445976987,,0.000554079532955708,-0.0011432143893126026
0.000585329532955708,-0.5108225040143652,,0.000585329532955708,-0.0013995434971587916
0.000616579532955708,-0.6687236512122487,,0.000616579532955708,-0.0016062374419007726
0.000647829532955708,-0.8009261235185902,,0.000647829532955708,-0.001754986224509327
0.0006790795329557081,-0.9023494540626568,,0.0006790795329557081,-0.001839739089298493
0.0007103295329557081,-0.9690960011304992,,0.0007103295329557081,-0.0018569341820062035
0.0007415795329557081,-0.9986007323501952,,0.0007415795329557081,-0.0018056328145102908
0.0007728295329557082,-0.9897297974474156,,0.0007728295329557082,-0.001687553154024701
0.0008040795329557082,-0.9428241014755968,,0.0008040795329557082,-0.0015070020216657782
0.0008353295329557082,-0.8596862040259182,,0.0008353295329557082,-0.0012707074026870025
0.0008665795329557082,-0.7435110478731012,,0.0008665795329557082,-0.000987558087924258
0.0008978295329557083,-0.5987631791163202,,0.0008978295329557083,-0.0006682604363921849
0.0009290795329557083,-0.4310051771763583,,0.0009290795329557083,-0.0003249254353299359
0.0009603295329557083,-0.24668388798799695,,0.0009603295329557083,0.00002939808612651788
0.0009915795329557082,-0.052882675326175986,,0.0009915795329557082,0.00038122616304396627
0.0010228295329557083,0.1429507888914848,,0.0010228295329557083,0.000717159012547411
0.0010540795329557083,0.333290734459771,,0.0010540795329557083,0.0010243970160888516
0.0010853295329557083,0.5108225040143662,,0.0010853295329557083,0.001291233546109318
0.0011165795329557084,0.6687236512122506,,0.0011165795329557084,0.0015075057061448584
0.0011478295329557084,0.8009261235185916,,0.0011478295329557084,0.0016649856700734445
0.0011790795329557084,0.9023494540626579,,0.0011790795329557084,0.0017576975882882062
0.0012103295329557084,0.9690960011304999,,0.0012103295329557084,0.0017821478884082454
0.0012415795329557085,0.9986007323501953,,0.0012415795329557085,0.0017374601257948718
0.0012728295329557085,0.9897297974474154,,0.0012728295329557085,0.001625409206743748
0.0013040795329557085,0.9428241014755965,,0.0013040795329557085,0.001450353673824036
0.0013353295329557085,0.8596862040259173,,0.0013353295329557085,0.0012190686598390302
0.0013665795329557086,0.7435110478730994,,0.0013665795329557086,0.0009404859337571392
0.0013978295329557086,0.5987631791163188,,0.0013978295329557086,0.0006253510320239128
0.0014290795329557086,0.43100517717635595,,0.0014290795329557086,0.0002858106547166843
0.0014603295329557087,0.24668388798799537,,0.0014603295329557087,-0.00006505381439745029
0.0014915795329557087,0.052882675326174335,,0.0014915795329557087,-0.00041372873467030217
0.0015228295329557087,-0.14295078889148732,,0.0015228295329557087,-0.0007467872718357335
0.0015540795329557087,-0.33329073445977336,,0.0015540795329557087,-0.0010514051482006111
0.0015853295329557088,-0.5108225040143692,,0.0015853295329557088,-0.0013158532577524451
0.0016165795329557088,-0.6687236512122532,,0.0016165795329557088,-0.0015299482134194273
0.0016478295329557088,-0.8009261235185932,,0.0016478295329557088,-0.0016854435105254325
0.0016790795329557089,-0.9023494540626585,,0.0016790795329557089,-0.0017763462727172076
0.0017103295329557089,-0.9690960011305004,,0.0017103295329557089,-0.00179914740660024
0.001741579532955709,-0.9986007323501954,,0.001741579532955709,-0.0017529563190979522
0.001772829532955709,-0.989729797447415,,0.001772829532955709,-0.0016395350192623351
